Category,Sub -Groups / Products,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Alkali Chemicals,Soda Ash,2583013,2613419,2989570,3048187,3069431,2638117,3078901,3219315,2975782,3279271
Alkali Chemicals,Caustic Soda,2503955,2594495,2742313,2925352,3136937,2964078,3462771,3604471,3617989,3926649
Alkali Chemicals,Liquid Chlorine,1714816,1800666,1899412,2069111,2250429,2174264,2499329,2668849,2640410,2731796
Total - Alkali Chemicals,Total,6801784,7008580,7631295,8042650,8456797,7776459,9041001,9492635,9234181,9937716
Inorganic Chemicals,Aluminium Fluoride,9514,8142,7514,5697,5050,3698,8909,5307,5384,5203
Inorganic Chemicals,Calcium Carbide,83472,85021,87297,83170,81339,86778,98618,83437,80129,86176
Inorganic Chemicals,Carbon Black,469561,535273,530356,546390,500146,384780,456487,447003,484376,548498
Inorganic Chemicals,Potassium Chlorate,406,12,347,703,16178,17079,17678,14233,17090,17778
Inorganic Chemicals,Sodium Chlorate,0,0,0,NA,NA,17917,21144,23210,21485,21468
Inorganic Chemicals,Titanium Dioxide,58533,58459,57817,57059,49487,51222,56957,46811,54015,52344
Inorganic Chemicals,Red Phosphorus,836,771,881,1029,1030,1066,1146,1170,1124,1099
Inorganic Chemicals,Hydrogen Peroxide,153083,148866,157020,156453,122839,139904,143488,184366,188120,183116
Inorganic Chemicals,Potassium Iodate,0,0,0,0,564,542,579,507,526,533
Inorganic Chemicals,Calcium Carbonate,226126,216329,217248,213329,286833,274791,246775,252382,285055,280538
Total - Inorganic Chemicals,Total,1001531,1052873,1058480,1063830,1063466,977777,1051781,1058426,1137304,1196753
Organic Chemicals,Acetic Acid,157906,158512,157067,153801,167856,154755,166590,165488,164318,167772
Organic Chemicals,Acetic Anhydride,92986,94820,97093,95471,74149,75088,78425,97851,69053,66120
Organic Chemicals,Acetone,24960,26793,32865,40740,36268,39034,36115,33987,29613,21790
Organic Chemicals,Phenol,40424,43569,53448,65394,57850,61272,58156,54980,47524,34872
Organic Chemicals,Methanol,162621,176959,260489,271929,176046,234026,167714,69268,183163,244290
Organic Chemicals,Formaldehyde,242089,244187,248234,226610,260413,244660,293071,301056,313110,359017
Organic Chemicals,Nitrobenzene,68373,69714,71406,68804,61138,76092,82846,64466,82213,106008
Organic Chemicals,Maleic Anhydride,3539,3529,3312,4557,5024,5382,6328,6905,6485,6511
Organic Chemicals,Pentaerythritol,13967,14014,14097,14990,15210,11652,16334,15594,14389,15478
Organic Chemicals,Aniline,39402,41454,41881,37852,25437,33529,39662,22165,30338,36589
Organic Chemicals,Chloro Methanes,220181,221509,222433,285531,296909,326952,340820,411558,386849,403459
Organic Chemicals,Isobutylbenzene,7241,6920,8954,9699,9441,12719,8520,9603,9672,8014
Organic Chemicals,ONCB,19262,22550,24902,23696,19836,23269,26686,27076,25431,29624
